,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,217.9,2023-05-18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,229.5,2023-05-18
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,311.9,2023-05-18
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,265.3,2023-05-18
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,275.1,2023-05-18
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,265.8,2023-05-18
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,26,257.6,2023-05-18
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,23,217.8,2023-05-18
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,23,228.3,2023-05-18
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,26,271.4,2023-05-18
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,205.3,2023-05-18
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,207.2,2023-05-18
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,25,308.8,2023-05-18
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,26,200.2,2023-05-18
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,78.5,2023-05-18
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,27,308.5,2023-05-18
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,25,191.7,2023-05-18
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,125.6,2023-05-18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,149.2,2023-05-18
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,26,274.8,2023-05-18
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,141.1,2023-05-18
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,26,256.4,2023-05-18
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,194.2,2023-05-18
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,224.4,2023-05-18
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,152.1,2023-05-18
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,172.3,2023-05-18
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,260.5,2023-05-18
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,24,204.1,2023-05-18
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,18,51.2,2023-05-18
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,22,93.9,2023-05-18
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25,190.2,2023-05-18
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,18,61.7,2023-05-18
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,23,165.5,2023-05-18
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,209.6,2023-05-18
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,23,190.6,2023-05-18
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,22,116.7,2023-05-18
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,120.9,2023-05-18
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,19,105.4,2023-05-18
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,19,96.2,2023-05-18
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,20,117.5,2023-05-18
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,23,190.5,2023-05-18
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,24,145.5,2023-05-18
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,21,143.2,2023-05-18
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,24,175.5,2023-05-18
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,21,120.4,2023-05-18
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,15,40.7,2023-05-18
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,22,86.2,2023-05-18
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,21,95.6,2023-05-18
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,20,92.2,2023-05-18
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,13,25.3,2023-05-18
